Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
Okay but,"May 28, 2021 ",3.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Good company to work for.,Limited exposure on certain industries
Decent job with solid benefits,"Feb 28, 2021 ",4.0,Former, Administrative,,Recommend,Business Outlook,Share,Great benefits package and excellent vacation and leave policies,Underpaid. The interns get paid better than the admin staff. It's a slap in the face for the work that we do.
Great company,"Mar 24, 2021 ",5.0,Current, Senior Analyst,,Recommend,Business Outlook,Share,the company cares about you,pay is lack luster compared to others.
Review,"Mar 24, 2021 ",4.0,Current, Managing Director,,Recommend,Business Outlook,Share,"Good benefits, training and change agility.",Work life balance can occasionally be a challenge.
"No work life balance, but you learn a lot","Apr 29, 2021 ",3.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,You'll get exposed to a variety of clients and get to work on many different teams. Good resume builder,"No work life balance, low compensation for how much work you put in"
Good experience,"Mar 25, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,Lots of exposure to different industries,Longer hours during busy season
Fine place to work,"May 24, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,Chances to learn about different industries.,"No work life balance, low salary."
Great place to work and some great people but WLB takes a hit,"Feb 25, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Opportunities, Career Support, Independence to create work strategies","Work life Balance is non existent, Base Salaries could be higher for the amount of work undertaken"
"Great company, but consultancy has a quick burnout","Jan 11, 2021 ",4.0,Current, Copywriter,,Recommend,Business Outlook,Share,"Very focused on the people, pays well, generous time off and benefits. Diversity is highly encouraged with many groups to support them.",There can be a lot of long hours and once you hit salary you aren't paid overtime. There's a lot of great ideas by the top leadership but they don't always get carried out as you move down toward the greater mass of workers.
Staff accountant,"Mar 20, 2021 ",5.0,Former, Staff Tax Accountant,,Recommend,Business Outlook,Share,"Great environment, culture and company overall",Crazy hours and hard to have work life balance
Work hard play hard,"Mar 21, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"Generous pay, fun coworkers, top clients","Busy season, overtime, high turnover at big4"
Company culture and opportunities,"Feb 21, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,Good company culture and opportunities to get involved outside of work hours. Can work with top companies and chance to be involved with executive-level discussions.,"Lots of long hours, some bureaucracy to deal with from senior management."
Diverse culture,"Mar 8, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,The diversity is something I miss from other places.,Team culture can vary as far as time management and demands.
Salary,"May 24, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Very flexible at work during non busy season,Long working hours during busy season
Long hours,"May 18, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Flexibility at work - work from home circumstances / raise received each year,Long hours and pay starts low
Good name recognition,"Mar 20, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,Strep learning curve and opportunities,Bad pay and poor management
Great place to start career,"Mar 12, 2021 ",4.0,Former, Manager,,Recommend,Business Outlook,Share,"Great place to star career, great training, great learning","busy hours, career driven, work life balance can be difficult"
Good enough,"Mar 12, 2021 ",4.0,Current, Tax Manager,,Recommend,Business Outlook,Share,"Flexibility, technology allows remote work","Cons: some people, occasional micromanaging. Male favoritism. Upper management trying to have you constantly drink kool aid"
Bad work life balance,"May 15, 2021 ",3.0,Former, Tax Associate,,Recommend,Business Outlook,Share,Good training will provide solid foundation for fresh graduates,Bad work life balance. It is well knows among all big4s
Great experience,"Mar 14, 2021 ",4.0,Former, Management Consulting Manager,,Recommend,Business Outlook,Share,Learned a lot Challenging work Great people,Type of projects Workload can be a lot depending on the project scope and timeline
Great job,"Mar 23, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Excellent infrastructure, culture and people",Hours can be long and inconsistent
nice,"Mar 23, 2021 ",5.0,Current, Accountant,,Recommend,Business Outlook,Share,good pay with supportive colleagues,super busy when during the busy season
Great,"Mar 23, 2021 ",5.0,Current, Accountant,,Recommend,Business Outlook,Share,it was such a great experience,I wish I made more money
"Hard work, but the learning experience is top notch","Feb 16, 2021 ",4.0,Former, Assurance Senior,,Recommend,Business Outlook,Share,Smart co-workers Great client opportunities Fast paced learning and growth Progressive leadership,Nature of work (ie. Audits/tax) - compliance Salary
PwC Bewertung,"Mar 25, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,good atmosphere is really good,working hours sometimes are long
Good experience,"Mar 9, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,Opportunities are abundant and you can really steer your career cross functionally.,Sometimes you’ll have to work on 2 projects simultaneously
Manager,"Mar 17, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,Great team to work with!,Hours can be a challenge
Nice Company,"Mar 17, 2021 ",4.0,Former, Senior Manager,,Recommend,Business Outlook,Share,"project , client,exposure, employees, flexibility","work life balance, benefits, upper management, Growth, staffing process"
Nice environment but lot of travel,"Apr 8, 2021 ",3.0,Current, PwC Senior Associate,,Recommend,Business Outlook,Share,Nice salary and flexible work environment,Lot of travel required sometimes one corner of the country to another corner
My experience,"May 21, 2021 ",3.0,Current, Risk Assurance Associate,,Recommend,Business Outlook,Share,Great compensation and benefits Lots of opportunities,Long hours Sometimes teams can be difficult to work with
Great progressive company,"Mar 10, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,You get as much as you ask for. Flexibility opportunity Benefits Consistent pay increase,Busy season slowly stretched from 2 months to. 5-6
Great training for new hires,"Mar 11, 2021 ",5.0,Former, Assurance Associate,,Recommend,Business Outlook,Share,Supportive class of cohorts. Many opportunities to get hands-on experience.,Long hours during busy season. Lots of turnover.
Good starting point for your career,"Mar 5, 2021 ",4.0,Current, Risk Assurance Senior Associate,,Recommend,Business Outlook,Share,- Get to interact with Senior management from get go - Access to latest tools and technology,- Work life balance - Cross LOS opportunities
Offer career growth opportunity,"Nov 27, 2020 ",4.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,The firm constantly offers trainings from different aspects of your work. It also provides training on different digital tools. It values staff's career development and offers opportunity to try out different type of work within the same service line.,"As everyone knows, the working hour is much longer than a industry job. Even though the firm tries to promote work life balance, it is very hard with the nature of the job, especially during the busy season. If you have issue with working long hours most of the time, then Big 4 accounting might not be a good fit for you."
Tax Associate,"Mar 21, 2021 ",4.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Good experience and able to learn new things,Long hours during busy season
Great place to work!,"Mar 22, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,"Great Brand, Great Senior Leadership",I don't have any Cons
EY,"Mar 22, 2021 ",5.0,Current, Senior Consultant,,Recommend,Business Outlook,Share,"Good people, nice work environment",Not many cons from what I've seen
Not for everyone,"Feb 10, 2021 ",3.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Great company values, good benefits, top shelf clients.","LOTS of hoops to jump through all the time, harsh metrics for bonus/raise/promotion, performance review process is murky, can go from 60+ hour weeks to zero billable hours. Associates/senior associates do ALL the work, pay at those levels is barely adequate."
